Country;Year;Voice and Accountability;Political Stability;Government Effectiveness;Regulatory Quality;Rule of Law;Control of Corruption;Debt Ratio to GDP;Trade openess;GDP per capita growth rate;Real GDP growth annual;inflation
Angola;1996;-1.58;-2.06;-0.86;-1.42;-1.63;-1.17;147.94;0.00;0.00;11.20;4145.11
Angola;1997;-1.50;-2.19;-0.96;-1.43;-1.58;-1.17;118.14;0.00;0.00;7.30;219.18
Angola;1998;-1.41;-2.32;-1.06;-1.45;-1.53;-1.18;154.95;0.00;0.00;4.70;107.28
Angola;1999;-1.43;-2.18;-1.07;-1.48;-1.56;-1.19;165.25;0.00;0.00;2.20;248.20
Angola;2000;-1.46;-2.04;-1.08;-1.51;-1.60;-1.20;89.90;0.00;0.00;3.10;325.00
Angola;2001;-1.35;-1.81;-1.10;-1.40;-1.62;-1.18;80.17;0.00;0.00;4.20;152.56
Angola;2002;-1.24;-1.58;-1.13;-1.29;-1.63;-1.16;72.97;105.30;0.00;13.70;108.90
Angola;2003;-1.27;-1.01;-1.12;-1.19;-1.48;-1.34;59.77;103.90;0.00;3.00;98.22
Angola;2004;-1.29;-1.06;-1.33;-1.23;-1.52;-1.38;51.95;103.58;7.13;11.00;43.54
Angola;2005;-1.23;-0.89;-1.11;-1.24;-1.46;-1.32;35.74;106.59;11.01;15.00;22.95
Angola;2006;-1.25;-0.54;-1.38;-1.16;-1.31;-1.24;18.70;94.63;7.61;11.50;13.31
Angola;2007;-1.19;-0.67;-1.21;-1.08;-1.38;-1.31;16.07;108.06;9.94;14.00;12.25
Angola;2008;-1.12;-0.36;-1.06;-1.10;-1.38;-1.31;16.65;121.36;7.16;11.20;12.48
Angola;2009;-1.13;-0.35;-0.95;-1.06;-1.24;-1.40;22.71;122.45;-2.80;0.90;13.73
Angola;2010;-1.12;-0.23;-1.14;-1.06;-1.27;-1.33;44.29;104.12;1.02;4.90;14.47
Angola;2011;-1.13;-0.37;-1.19;-1.11;-1.28;-1.37;33.80;99.98;-0.35;3.50;13.48
Angola;2012;-1.08;-0.39;-0.99;-0.99;-1.30;-1.30;29.49;91.80;4.54;8.50;10.28
Angola;2013;-1.11;-0.39;-1.24;-1.04;-1.29;-1.34;32.87;86.81;1.11;5.00;8.78
Angola;2014;-1.15;-0.33;-1.06;-0.86;-1.07;-1.46;40.66;79.33;1.03;4.80;7.28
Angola;2015;-1.18;-0.51;-0.93;-0.86;-1.03;-1.43;64.24;62.89;-2.64;0.90;9.35
Angola;2016;-1.14;-0.32;-0.97;-0.97;-1.00;-1.48;0.00;53.37;-6.01;-2.60;30.70
Angola;2017;-1.09;-0.39;-0.95;-1.05;-1.04;-1.44;0.00;52.26;-3.63;-0.20;29.84
Angola;2018;-0.90;-0.35;-1.01;-0.80;-1.00;-1.20;0.00;66.38;-4.68;-1.30;19.63
Angola;2019;-0.79;-0.37;-1.13;-0.83;-1.03;-1.06;0.00;57.83;-4.02;-0.70;17.08
Angola;2020;-0.82;-0.60;-1.26;-0.86;-0.95;-0.94;0.00;65.94;-8.67;-5.60;22.27
Angola;2021;-0.85;-0.71;-1.13;-0.67;-0.98;-0.65;0.00;74.46;-1.95;1.20;25.75
Angola;2022;-0.80;-0.65;-1.04;-0.61;-1.02;-0.60;0.00;68.17;-0.44;3.00;22.9
